,Cor_coef
feature_39,0.6267464291118634
feature_18,0.6103550617522925
feature_37,0.6012427489268601
feature_41,0.5858615095102089
feature_43,0.5840608100863038
feature_13,0.5629948655144098
feature_42,0.5555085153248825
feature_48,0.5537861212380272
feature_44,0.5485776874585537
feature_38,0.5483544197472388
feature_50,0.5435610070304537
feature_46,0.5424104280367491
feature_17,0.5389299795605427
feature_11,0.5164767108784591
feature_40,0.5086522647874421
feature_7,0.5059340332551899
feature_52,0.5043641996714325
feature_31,0.5029691919972427
feature_16,0.49553639174714975
feature_33,0.49521141912169286
feature_9,0.487856018984414
feature_6,0.4867742294271273
feature_35,0.48609674169822226
feature_14,0.48074477500932966
feature_10,0.47350563626446385
feature_47,0.46839240834999357
feature_8,0.4648034017566656
feature_61,0.460781427359198
feature_19,0.4504841708236779
feature_12,0.45007108722449296
feature_75,0.4449837634055478
feature_74,0.43666686522739356
feature_110,0.4335516600188096
feature_70,0.4331650430507484
feature_24,0.4322919363038167
feature_109,0.43211272074048146
feature_5,0.4304785560618542
feature_102,0.42446185328037006
feature_78,0.42354975576466225
feature_76,0.418397454280337
feature_117,0.418117990068175
feature_26,0.4155842547554917
feature_77,0.4152616630842949
feature_62,0.4147624264372186
feature_108,0.4136797438481582
feature_118,0.41094054961948595
feature_89,0.41044182930983164
feature_84,0.40897666170782154
feature_99,0.40800503883355393
feature_60,0.4066146624484625
feature_98,0.4041963440026791
feature_69,0.4022788558520192
feature_81,0.40091349531839837
feature_25,0.4000059070161515
feature_23,0.3983832144487872
feature_21,0.3936770473320817
feature_116,0.39333239775423917
feature_100,0.3916810483056654
feature_101,0.39072729896700464
feature_68,0.3900631181500151
feature_22,0.38905187332049557
feature_67,0.388701799449847
feature_92,0.3886136974325049
feature_51,0.3857412964073049
feature_107,0.3831389961993567
feature_73,0.37982814117078567
feature_59,0.37233413473071536
feature_85,0.36639465665477267
feature_66,0.356405174323136
feature_115,0.35554638862169236
feature_93,0.3548048838188368
feature_106,0.3497684731511747
feature_58,0.34961153812425083
feature_53,0.3432417661820292
feature_94,0.3411249277824145
feature_30,0.33880522379704037
feature_97,0.33481541429742273
feature_15,0.3306311042184159
feature_20,0.3269208044125919
feature_114,0.31891936308234603
feature_86,0.3180561746634003
feature_65,0.30328049297352677
feature_82,0.3009166765326952
feature_105,0.29444993187361146
feature_88,0.28806585324107187
feature_83,0.2865606556634987
feature_2,0.2740640751579178
feature_90,0.2671641354346339
feature_49,0.2659010493925696
feature_113,0.26464173146462666
feature_91,0.25729775788898385
feature_72,0.2517852973219398
feature_57,0.2368688603903363
feature_80,0.2346399162198549
feature_112,0.22360667229933565
feature_96,0.2068755588557961
feature_64,0.20428819859001032
feature_104,0.20397504499741978
feature_0,0.1884568523388451
feature_63,0.1785656911298255
feature_111,0.15858107217405962
feature_34,0.15345449651178583
feature_3,0.14953970321515914
feature_87,0.1483445375861981
feature_56,0.1333467121887176
feature_45,0.13163310375344384
feature_54,0.12983319689609657
feature_32,0.11245238324453116
feature_71,0.10929495136366697
feature_29,0.10368890678195879
feature_79,0.09842405425828882
feature_103,0.09249070760983322
feature_95,0.07815073737358448
feature_36,0.07356510203366408
feature_27,0.0731498817800036
feature_55,0.06992410829278006
feature_4,0.059173174542584424
feature_28,0.0447590401815737
feature_1,0.020131816923630638
