,feature 0,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,feature 17,feature 18,feature 19,feature 20,feature 21,feature 22,feature 23,feature 24,feature 25,feature 26,feature 27,feature 28,feature 29,feature 30,feature 31,feature 32,feature 33,feature 34,feature 35,feature 36,feature 37,feature 38,feature 39,feature 40,feature 41,feature 42,feature 43,feature 44,feature 45,feature 46,feature 47,feature 48,feature 49,feature 50,feature 51,feature 52,feature 53,feature 54,feature 55,feature 56,feature 57,feature 58,feature 59,feature 60,feature 61,feature 62,feature 63,feature 64,feature 65,feature 66,feature 67,feature 68,feature 69,feature 70,feature 71,feature 72,feature 73,feature 74,feature 75,feature 76,feature 77,feature 78,feature 79,feature 80,feature 81,feature 82,feature 83,feature 84,feature 85,feature 86,feature 87,feature 88,feature 89,feature 90,feature 91,feature 92,feature 93,feature 94,feature 95,feature 96,feature 97,feature 98,feature 99,feature 100,feature 101,feature 102,feature 103,feature 104,feature 105,feature 106,feature 107,feature 108,feature 109,feature 110,feature 111,feature 112,feature 113,feature 114,feature 115,feature 116,feature 117,feature 118
feature 0,6.330028261441196,6.328654978611475,6.139125579601516,6.247278271794505,6.3098596529091955,5.777708736021632,5.623994409418377,5.557164679907997,5.7005831109472265,5.623637910683415,5.669326232615051,5.517315715886344,5.721985250275463,5.32604656902705,5.634925138232067,6.011000491603337,5.5823525758920285,5.419666710941852,5.105550090337348,5.629762742383405,5.98445651612487,5.809399464355396,5.867906077048955,5.781960832131559,5.750826588862413,5.810293703444527,5.814568460666101,6.286162336865962,6.329414601215691,6.286999325037369,5.9349372872579185,5.537867106820789,6.265230055794514,5.5439674147545634,6.232955268771221,5.606179738555192,6.295274110144358,5.112554643470538,5.368050194439496,5.000240372963438,5.509312080892443,5.186027386841854,5.344094788881436,5.204852505289836,5.3836447167660495,6.2573165313977075,5.34479610970207,5.638955558616976,5.3245659111896435,6.129031786333026,5.355815583705375,5.906765342324517,5.512035422457515,6.0061367814642095,6.2480072985669155,6.311200236652916,6.2756966493151305,6.164724242485171,5.964834145616934,5.9234095550218,5.8507695111028255,5.70037781732891,5.820751757814696,6.220634380136579,6.191369365335628,6.040070782573723,5.938337504900823,5.871474018683207,5.87541636856269,5.852779660736488,5.770616692605868,6.280321391721458,6.12249656400675,5.881817330782671,5.718057283862117,5.68566524376157,5.774593846956397,5.795232163838549,5.780388446712821,6.292665186877619,6.153921698234005,5.806570088182533,5.993025696864189,6.025377719776107,5.765069658329131,5.906440320081738,5.999527452696883,6.247627417032835,6.060996726220959,5.772346119529739,6.038774688256863,6.07291346928186,5.836362722861298,5.949315993679638,5.9799408010882935,6.298656092683794,6.1904501458593915,5.9909184178822095,5.8145789812467,5.80903597664565,5.874776416861175,5.88260490431217,5.791587996770964,6.2956149158813215,6.2074455713182255,6.078753109220033,5.965379904920507,5.893284899011021,5.821816740945025,5.770313367091522,5.759213679651356,6.240843428053004,6.156539273143507,6.116108864447505,6.0363885321699255,5.96585632928182,5.867200801455835,5.791056808366717,5.809950158055006
feature 1,6.328654978611475,6.444216261535198,6.197244520572045,6.371616445382838,6.433132683077315,5.816946297956382,5.6270689273815995,5.557739409451239,5.705365098794667,5.621455115871807,5.674042359096609,5.5169305524127035,5.75427837012666,5.323219464518914,5.650802596626499,6.083024103608571,5.582919874738101,5.429386965306312,5.104747075573627,5.752262070129031,6.0908344817854765,5.9203771901606,5.933452194235499,5.906339010508104,5.803199067983263,5.901750100281977,5.852398374696735,6.426898125028094,6.43729480326947,6.410340195883301,6.06386316681635,5.568925448036981,6.403631250065414,5.598554772714623,6.36893401188608,5.631367231835801,6.4273689548067106,5.148855574545236,5.3885962354639325,5.020147085054122,5.548046237763559,5.2208733053694,5.349338741071757,5.2301804773172105,5.3788859856318245,6.388198508963459,5.411734708723463,5.692371009863338,5.365508962347902,6.211346260100836,5.405517453020279,5.941071032214728,5.561713603099438,6.045784323013894,6.389837009732229,6.428753988012457,6.38640462878696,6.259440510107174,6.035528519536648,5.977678200323786,5.8810099910461835,5.714982320284832,5.863893954382484,6.340282173479338,6.30807166490514,6.139600080790585,6.019252851162465,5.933807467651019,5.926046150892144,5.891641665021785,5.806114832502748,6.405759105586068,6.23738023492486,5.961383699840188,5.794907610700228,5.76734281499086,5.849148870300148,5.8565599559097965,5.8328575394207745,6.413488948068627,6.2652130535074155,5.9034309790817066,6.14474897919189,6.1738412158201985,5.876488217420424,5.991214677440881,6.108290683496515,6.373208695239498,6.171176443552495,5.876223524781346,6.208995650469508,6.227418284467413,5.933532229112628,6.021733719204688,6.057355824014653,6.423959609805332,6.302756785729303,6.0702564327572395,5.893171903358859,5.8801357402122285,5.923428029850127,5.925910031086397,5.833250666572726,6.416585781183944,6.308756483052753,6.156609269388884,6.032517266228013,5.944132945818497,5.859325117162268,5.809159448483895,5.807607209049795,6.362163130145667,6.280811473072681,6.214347901744876,6.105631058309356,6.02030831788843,5.922158560215027,5.853530744909373,5.874343195342439
feature 2,6.139125579601516,6.197244520572044,6.198732732958459,6.12608374361917,6.164164196553755,5.768320961761144,5.629276198996132,5.558264129080349,5.693654902967484,5.618613130697243,5.664953406578396,5.519057847938403,5.700411376423062,5.326539118264647,5.613991923303884,5.936667490705811,5.5423685650295695,5.420303512379708,5.104840580750774,5.657294729458709,5.9474782221473514,5.81618972088344,5.846284179293511,5.786223892340579,5.719050954714598,5.782149913344039,5.756147647070401,6.173525605893836,6.198519006175616,6.170431697606776,5.913054643892643,5.561148295184398,6.168274934530419,5.56729178898864,6.149106027842303,5.595892287985047,6.1781100502898925,5.147523183084188,5.388768560440459,5.0217361726430925,5.517715923663739,5.203349452180134,5.330717057453707,5.21497044741055,5.370790363258852,6.145167517079953,5.385653436625973,5.658071311954389,5.349814108086399,6.069401821881542,5.374945923493855,5.8454672299333,5.509081089531457,5.929077524070481,6.150057048044349,6.194755254221541,6.176977461908366,6.0974979890896,5.933470742958079,5.895945075668641,5.8315383711590645,5.6882805143070465,5.818319234989783,6.150601924142505,6.137248766696694,6.03071219958304,5.942574062026319,5.867000636881791,5.867932940381587,5.8511956734768775,5.782756634091397,6.181837857803225,6.087704688171946,5.893673144327592,5.747895927045322,5.710465045324507,5.779136750406347,5.792351102869385,5.794276954777531,6.18016047267266,6.085217652851742,5.8195782880107485,5.964592948969011,5.988744135342248,5.782556183333946,5.876198166635367,5.95853462391393,6.1596555040257925,6.026578664751317,5.7901347480434415,6.0021294250667045,6.016832654078195,5.82949552964112,5.905874860596838,5.919014461049991,6.19461637399717,6.123877696879138,5.960179204587762,5.8079297717106,5.794508184500618,5.841335385785737,5.8460652640486535,5.7709155300031965,6.18956124458853,6.130773912731222,6.014534549897178,5.911151806648756,5.8505430646629435,5.78479302226778,5.755901198963807,5.7626295946982,6.139805147984659,6.087071562120905,6.045313348948467,5.973563043594546,5.919292016319464,5.850605521058244,5.796335163523576,5.819946681763961
feature 3,6.247278271794505,6.371616445382838,6.126083743619171,6.373047297578806,6.372786460544068,5.817718386038563,5.617796918746791,5.550083032228059,5.702718853110999,5.620114760583317,5.674758058848934,5.519127395834938,5.7489011838428725,5.3014003034677195,5.591575104367827,5.970347902224312,5.551615710851285,5.426723608524702,5.083092506692316,5.7355349833343325,6.060916290589058,5.903106736081206,5.911885173033851,5.871112678072415,5.798655579205571,5.876683060033934,5.843204097293293,6.360960593695579,6.369033828896192,6.330050007627675,6.021671664013351,5.541335893659128,6.327270387720505,5.55604475685579,6.295571585091723,5.572994965047241,6.359736915942101,5.1437263743993356,5.368771773402566,5.021782363906133,5.529126349487889,5.20382789572215,5.349148612050353,5.210679031767479,5.371239934056052,6.326035738314956,5.401650864962502,5.66687030471281,5.3637194595204685,6.160083272246958,5.392933703576548,5.921747943816836,5.535630984995319,6.014550435421515,6.328319580784904,6.356566819433803,6.32004910553884,6.202683692421523,5.994858500494526,5.944286299586769,5.856071863203499,5.692495182827043,5.82564702055315,6.274999123552047,6.248081379363482,6.093781132639414,5.984240117203337,5.9085439428968485,5.904760598377645,5.866358823954089,5.7750669800449685,6.345790313578169,6.194816849525489,5.931573934880141,5.775164477301381,5.751515482538175,5.834756268661458,5.845459637752835,5.815960116357228,6.350066555830032,6.2173274836527845,5.874304689952737,6.1116883638450235,6.121485428439837,5.846751827252259,5.966870955976685,6.083400193500446,6.318088694480012,6.129858860052032,5.846688983021011,6.167730249013197,6.168088859053545,5.904786177299474,5.99495438580534,6.026589675388218,6.358156707730781,6.249667788910699,6.033602457149335,5.8678630694491485,5.855765143988572,5.905933270425793,5.906646937381944,5.811782998809703,6.3519293887576,6.258373988668392,6.119017464639619,6.002374251877083,5.923850088930568,5.841663782175034,5.7853804418849935,5.780377288625593,6.307543433303081,6.232110623009416,6.166583844452752,6.067657986187179,5.99130856674703,5.896081738447978,5.827464128667938,5.844658005990193
feature 4,6.3098596529091955,6.433132683077315,6.164164196553755,6.372786460544068,6.434228267224682,5.813986204955277,5.595023439802288,5.534914446246233,5.70277128718624,5.616256136326872,5.672774665578784,5.515591611990153,5.753324761255157,5.2803551550184995,5.5945612422981315,6.045203562494712,5.581088991299156,5.42448271546247,5.080871910559317,5.73619398782655,6.076989287101016,5.909540700047934,5.916226596654225,5.877212359224145,5.799141049975223,5.8880223104352485,5.852063485198935,6.419527656966826,6.42563550739843,6.400904148603979,6.063238180461458,5.547480719659229,6.397020853619778,5.593145180086004,6.359491274748052,5.622391546280373,6.418244028932642,5.118299374534839,5.341436334480584,5.005090251053754,5.521557594412559,5.176337207325051,5.335345301118377,5.195761664954168,5.3603905914225844,6.382010162369634,5.396044418150624,5.669420408448938,5.353785399184866,6.1928560362870275,5.380556550333504,5.934153678709429,5.54048031696662,6.0406378045844225,6.383215639036437,6.417501407024247,6.371268154090325,6.23162189715726,5.997160066095468,5.948188025753921,5.8464139859862065,5.666671945601512,5.838130948873531,6.321853425271971,6.285154971379232,6.108235570775377,5.983183615774708,5.907853726245588,5.90880122329032,5.866814390332466,5.758739160632119,6.393952339127588,6.219783068461017,5.934997582320581,5.7707478460804085,5.747450584064207,5.834660357553462,5.845878079286327,5.801140335114439,6.403363701709128,6.251977416683421,5.882466798302079,6.138688623008445,6.158464020636113,5.848654473061787,5.979844754741462,6.10057297667575,6.3641855115027175,6.157395690243155,5.857288778990076,6.200001383233122,6.206628198977839,5.9098547610742225,6.0119995972735625,6.043648484319351,6.414220366551073,6.291506117960674,6.057409525115586,5.88032206602304,5.866771716167658,5.917804713394628,5.919707884594285,5.8114380512700246,6.408277385867764,6.300787252139588,6.149421454177307,6.027004324809865,5.9395419409097014,5.854412441094782,5.793127810901743,5.7759947877489495,6.355663319613578,6.273315763043653,6.204423247157821,6.097041599920034,6.011757804413184,5.910636761550387,5.830906435341609,5.8464627721534965
feature 5,5.777708736021631,5.816946297956381,5.768320961761145,5.817718386038563,5.813986204955277,5.8177338380752355,5.595125019798515,5.5164656286053155,5.645678376840716,5.588243938370762,5.660404121975992,5.511492159824981,5.640157803032181,5.266046813137977,5.369639759552099,5.598726593985707,5.351674823009432,5.339661132768293,5.080328941170754,5.516102698721244,5.6997603111879105,5.6028035897114785,5.648304700893501,5.5751958083302595,5.5767172393843065,5.5866708592202245,5.5874547381700825,5.817208580018718,5.807423280850661,5.8150126245300635,5.724827987757139,5.446500783107275,5.815375488294701,5.466728100045851,5.812787717008706,5.4986300535864405,5.817732212437245,5.1141076272480905,5.306547248761709,5.007908037153298,5.422088918822081,5.130462096827719,5.277848097005888,5.170812471884829,5.302347631974515,5.809142618157015,5.3026618724635535,5.506261935961812,5.29178896303762,5.789855672865862,5.285470127451893,5.675444148384721,5.417723241346971,5.7157256672364625,5.809397396670008,5.81695049946058,5.810731777068578,5.774370515836515,5.685496971041069,5.673220422495929,5.6298191148434515,5.523240649067917,5.608700147828544,5.787680576127134,5.780215666949746,5.716709661375068,5.667422118505125,5.633882809819901,5.640442091880407,5.619792083599055,5.565770740789475,5.816457228157035,5.764367951904133,5.63135338610125,5.533617470541209,5.5040163145162735,5.566711748836388,5.582800013718721,5.569380377856183,5.817007396416735,5.773913572642325,5.590243891576363,5.709430302214189,5.689533873564442,5.520956957441885,5.6170464914221725,5.684614046647007,5.809260711365753,5.723945459921067,5.551873803696113,5.7226538278982595,5.711728736393093,5.577386025907237,5.648727580791122,5.6682847741026725,5.8162392930843225,5.770022111817357,5.659161826586862,5.5651874959589565,5.5728423338762125,5.627573302911127,5.636244082605945,5.572242346004308,5.816517623878217,5.784475224420698,5.703234751057027,5.64178640899779,5.623247096233207,5.5970583906240305,5.571016552287789,5.540258612210784,5.798372244934929,5.767729133377233,5.731961203726477,5.694213736633535,5.67468538566219,5.630588205681793,5.57035404317812,5.556970198258495
feature 6,5.623994409418377,5.627068927381599,5.629276198996132,5.617796918746791,5.595023439802287,5.595125019798514,5.630343249094269,5.528918272299839,5.5458745022853115,5.508481926849549,5.532680879478814,5.503422594943566,5.464645462313994,5.315578001037165,5.37586168873811,5.531756816595365,5.34131191717495,5.285601047335962,5.095394046290594,5.413016587193973,5.576235925443497,5.49228387679578,5.575764884587195,5.429468635684489,5.46804909634987,5.430708269644183,5.477107091857803,5.615856977405647,5.628556808655363,5.617679779956784,5.523890151536534,5.446045012324295,5.607321749353001,5.351100114436512,5.616365967894799,5.360284271980526,5.616361265201201,5.104761975447864,5.323113901063266,5.006811274362956,5.413754364366255,5.0595197536134435,5.222249533346212,5.080725775019978,5.254257437377766,5.606688700838031,5.245508847244067,5.473789532691111,5.25254052256732,5.6288501696553,5.1684542811008845,5.542392063999195,5.282421606305057,5.576155689964908,5.602691456455104,5.614705105453297,5.61896689064718,5.630295991615891,5.608369629108144,5.604483205150869,5.590259677627329,5.534685760933714,5.546620603509681,5.630063602958387,5.630152632913268,5.613216688286697,5.588561702398956,5.56309440151744,5.571263909280697,5.574189977036665,5.549973444710066,5.6290005379037815,5.621391561498553,5.564228428065997,5.486406726969649,5.437683512989166,5.474556108351592,5.498819966564632,5.53630275358163,5.630312574161623,5.6128208310311205,5.509005272869447,5.536222762290979,5.523166222371228,5.410110897913613,5.48161457831148,5.534683220770064,5.630280424597125,5.590471974445776,5.449394450951105,5.53662059671738,5.533274256964677,5.44267784118331,5.500623572035016,5.507662865300249,5.627140822565096,5.617346217611928,5.537538847178821,5.445883653617215,5.445352273204519,5.490442612290617,5.49928149825579,5.461767630330993,5.630103376170275,5.620338712716831,5.567706408213787,5.519491191976805,5.502245117406807,5.476146001820179,5.465602878310067,5.456769134867263,5.618811033169478,5.607325193886737,5.589150401250476,5.5711893390367955,5.551971328984513,5.520532829815568,5.481300617385432,5.479851314347825
feature 7,5.557164679907997,5.557739409451239,5.558264129080349,5.550083032228059,5.534914446246233,5.5164656286053155,5.528918272299839,5.559728390824235,5.540441815881148,5.485935322733776,5.478001664322666,5.488860630192982,5.399998299407879,5.280675729123329,5.3660107795381045,5.430731703053495,5.291337799776697,5.244872132136832,5.067113274197828,5.3312608235983685,5.501645324486795,5.400819882720261,5.498916527822147,5.356254373139287,5.409222932368131,5.369401012845413,5.423896979975469,5.545612410696484,5.555156655148128,5.538739944347244,5.420201916742972,5.3418745112760915,5.532499244315473,5.262066473728449,5.545393000218288,5.295638985504823,5.539845494606664,5.038362771017295,5.255932826010363,4.958898756412681,5.353417129036952,5.007252573969542,5.184304338205051,5.04344782325574,5.219711314275617,5.534519958328294,5.166920459041635,5.402936092580756,5.17797245359241,5.559383836542235,5.11631511996322,5.491947776585536,5.233618738701683,5.518697850377647,5.534854262397647,5.5567460653274425,5.557565949609151,5.558680544762142,5.52902120597227,5.520508936268933,5.505568840088415,5.462698920972884,5.489440750684903,5.559444512819036,5.559399499696996,5.542606384752912,5.516159942200744,5.486190372515716,5.490203598420734,5.489293315748615,5.46964445905606,5.559398725383708,5.54618275044125,5.4858019035391745,5.402980077369872,5.3640004831631485,5.408400558098308,5.421204495826638,5.442170339241852,5.557642896957314,5.53314142928292,5.416821844940657,5.4513484622463375,5.443110636097555,5.338625084735988,5.422694546526093,5.467164066701865,5.558158428436742,5.516679588084474,5.376897951096746,5.46988966053078,5.4692020659786165,5.380367135985111,5.448984387576885,5.462506074659824,5.558599208887416,5.548114592186742,5.476817850301054,5.389777738225653,5.388136775326276,5.432625161945604,5.448985634793499,5.411241944050157,5.559654085305406,5.551826018512246,5.508429913097895,5.464827451605958,5.448652424717814,5.421498965124847,5.406486256255815,5.394512013192658,5.551028735341639,5.541021690262175,5.522653405051674,5.5018537000463015,5.489382168794538,5.460843089882472,5.421261147358932,5.423054741547396
feature 8,5.7005831109472265,5.705365098794667,5.693654902967484,5.702718853110999,5.70277128718624,5.645678376840716,5.5458745022853115,5.540441815881149,5.706955341049425,5.599385748177485,5.5929129992336035,5.50926010970948,5.506902401082459,5.251504214793607,5.402289013241203,5.575981378662783,5.370910364697497,5.318277756474058,5.084028425743041,5.396593899546301,5.587240239373232,5.476220892412172,5.541606042137605,5.438991805568542,5.463259995340654,5.474025405709461,5.492628857839338,5.695856544840439,5.706577562865295,5.695292829444244,5.540067461002445,5.352193522687998,5.6879846145526605,5.317103371372652,5.693873764789473,5.393948358754836,5.698925158553684,5.029802580431108,5.244816332440242,4.927258449718939,5.335740627585712,5.022371860295201,5.178724460485288,5.081434459085634,5.2419663013793585,5.67519202711391,5.1921009177219695,5.42834502725191,5.177396705861783,5.679503457959475,5.161973749656483,5.561963790214021,5.317471673845024,5.613872588168429,5.6779568660963236,5.706773766618573,5.701978616763956,5.6761204835040475,5.590717099933951,5.579287044374725,5.561501637343549,5.47732770975115,5.517532743315851,5.681629295441491,5.678283561925884,5.616773602428088,5.5552109735966955,5.512430799716423,5.523431348562722,5.530379980983624,5.498065376943532,5.701741563739936,5.651447668482914,5.527489322924527,5.415180812038883,5.38016780493925,5.431943702658164,5.449948114342157,5.475072582861229,5.7028547018309474,5.653394162669118,5.4686445261351855,5.561635077520558,5.548948208694205,5.382977590906757,5.472954690920528,5.544637874644496,5.6897724582552085,5.607412292387888,5.444593478892689,5.596658136465688,5.586583391788155,5.445015750505131,5.516413698211982,5.547813358446522,5.701821041633493,5.657291236637254,5.556857010640635,5.460634286695119,5.459811607750852,5.5034179821495375,5.526124846266065,5.484582257055067,5.704644803338437,5.675086133897426,5.606231697762944,5.54155669302426,5.512711553057515,5.486408734205527,5.4830292082406284,5.477341682521365,5.682027576189228,5.650744701265939,5.627351186492734,5.589230758877454,5.567319609662821,5.53487853989469,5.497212485975834,5.507610797047753
feature 9,5.623637910683415,5.621455115871807,5.618613130697243,5.620114760583317,5.616256136326872,5.588243938370762,5.508481926849549,5.485935322733776,5.599385748177485,5.626452043602508,5.591054489053219,5.515639970753135,5.481114512311499,5.225181904562065,5.32695643459174,5.463742313079193,5.367495028319421,5.356839174607689,5.075480539946323,5.363626345952499,5.5415813580977105,5.426062841672311,5.483805945804664,5.399129860010701,5.4244923132061915,5.440571079510652,5.472654994654324,5.613827207987741,5.626329550400592,5.618588212419745,5.487889038656994,5.29905163624774,5.611066745958143,5.28501650377272,5.617123217221396,5.390108974803405,5.6211925297172955,5.034852199868244,5.249579014789264,4.913992828991739,5.294313273222597,5.027472109143289,5.176947324702364,5.092848281176609,5.262198222960511,5.603849396500281,5.162570762782557,5.3990837942022285,5.141526305781285,5.602312682941658,5.147435701412673,5.516563457663498,5.292180119578694,5.5686034948276175,5.595707649851841,5.62644863816425,5.624059734679582,5.605003758366561,5.538678357243032,5.524089211026391,5.505175971672707,5.431352483055606,5.484018417423391,5.609599257285904,5.606117254274014,5.555095175701675,5.50689868675457,5.471862900553078,5.4798173298642405,5.48386618550618,5.455893475815425,5.6252116598597715,5.584853085737752,5.472608339236776,5.380693728825832,5.351981726031907,5.4010262689316715,5.418452264165245,5.431372916665044,5.625216739428602,5.588763561331339,5.428178177481099,5.504466326982748,5.496078236753057,5.369406449787972,5.451055662909715,5.507063506373514,5.6197924076514685,5.5645089226650795,5.428849511240193,5.539127084449494,5.524533924654912,5.427017034364766,5.494553694375316,5.519295931601476,5.626313618578073,5.605526359523257,5.529714723961586,5.445198130503959,5.442507766578046,5.48021186443691,5.5028507231707415,5.472426740282648,5.626426398920824,5.614856234530368,5.56766423792463,5.513751986757794,5.494979155775552,5.474512175198107,5.475969937702316,5.472598568117302,5.612276983447849,5.5931416053482215,5.574962734349183,5.551986879909961,5.5458682713501055,5.5216855535718485,5.489670485287006,5.501023745506522
